"STATISTIC","Statistic Label","TLIST(M1)","Month","C03788V04538","County","UNIT","VALUE"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","Weeks","6"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","Weeks","7.3"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","Weeks","6.9"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-1453-13a3-e055-000000000001","Co. Galway","Weeks","4.8"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","Weeks","3"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","Weeks","5.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","Weeks","4.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-1441-13a3-e055-000000000001","Co. Longford","Weeks","9"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-1442-13a3-e055-000000000001","Co. Louth","Weeks","8"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-1440-13a3-e055-000000000001","Co. Limerick","Weeks","4.8"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-143f-13a3-e055-000000000001","Co. Leitrim","Weeks","4"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-143e-13a3-e055-000000000001","Co. Laois","Weeks","5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-1444-13a3-e055-000000000001","Co. Meath","Weeks","3"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-1445-13a3-e055-000000000001","Co. Monaghan","Weeks","4"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-1443-13a3-e055-000000000001","Co. Mayo","Weeks","4"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-1446-13a3-e055-000000000001","Co. Offaly","Weeks","4"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-1447-13a3-e055-000000000001","Co. Roscommon","Weeks","5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-1449-13a3-e055-000000000001","Co. Sligo","Weeks","3"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-144a-13a3-e055-000000000001","Co. Tipperary","Weeks","4.8"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-144b-13a3-e055-000000000001","Co. Waterford","Weeks","3.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-144e-13a3-e055-000000000001","Co. Wicklow","Weeks","5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-144c-13a3-e055-000000000001","Co. Westmeath","Weeks","5.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202202","2022 February","2ae19629-144d-13a3-e055-000000000001","Co. Wexford","Weeks","6"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","IE0","Ireland","Weeks","6"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1450-13a3-e055-000000000001","Co. Clare","Weeks","5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1451-13a3-e055-000000000001","Co. Cork","Weeks","6.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","Weeks","5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","Weeks","5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","Weeks","6.7"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","Weeks","7.9"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1453-13a3-e055-000000000001","Co. Galway","Weeks","6.2"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","Weeks","5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","Weeks","6"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","Weeks","5.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1441-13a3-e055-000000000001","Co. Longford","Weeks","9"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1442-13a3-e055-000000000001","Co. Louth","Weeks","7.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1440-13a3-e055-000000000001","Co. Limerick","Weeks","5.3"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-143f-13a3-e055-000000000001","Co. Leitrim","Weeks","6"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-143e-13a3-e055-000000000001","Co. Laois","Weeks","7"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1444-13a3-e055-000000000001","Co. Meath","Weeks","4"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1445-13a3-e055-000000000001","Co. Monaghan","Weeks","7"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1443-13a3-e055-000000000001","Co. Mayo","Weeks","5.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1446-13a3-e055-000000000001","Co. Offaly","Weeks","4"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1447-13a3-e055-000000000001","Co. Roscommon","Weeks","6"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-1449-13a3-e055-000000000001","Co. Sligo","Weeks","3"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-144a-13a3-e055-000000000001","Co. Tipperary","Weeks","5.3"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-144b-13a3-e055-000000000001","Co. Waterford","Weeks","4"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-144e-13a3-e055-000000000001","Co. Wicklow","Weeks","5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-144c-13a3-e055-000000000001","Co. Westmeath","Weeks","6"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202203","2022 March","2ae19629-144d-13a3-e055-000000000001","Co. Wexford","Weeks","6.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202204","2022 April","IE0","Ireland","Weeks","6.1"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202204","2022 April","2ae19629-1450-13a3-e055-000000000001","Co. Clare","Weeks","4.7"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202204","2022 April","2ae19629-1451-13a3-e055-000000000001","Co. Cork","Weeks","7.8"
