STATISTIC,Statistic Label,TLIST(M1),Month,C03788V04538,COUNTYNAME,UNIT,WaitingTime
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1454-13a3-e055-000000000001,Kerry,Weeks,6.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1441-13a3-e055-000000000001,Longford,Weeks,17.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1442-13a3-e055-000000000001,Louth,Weeks,12.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1440-13a3-e055-000000000001,Limerick,Weeks,6.3
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-143f-13a3-e055-000000000001,Leitrim,Weeks,9.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-143e-13a3-e055-000000000001,Laois,Weeks,12.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1444-13a3-e055-000000000001,Meath,Weeks,7.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1445-13a3-e055-000000000001,Monaghan,Weeks,5.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1443-13a3-e055-000000000001,Mayo,Weeks,6.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1446-13a3-e055-000000000001,Offaly,Weeks,7.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1447-13a3-e055-000000000001,Roscommon,Weeks,6.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1449-13a3-e055-000000000001,Sligo,Weeks,9.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-144a-13a3-e055-000000000001,Tipperary,Weeks,6.3
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-144b-13a3-e055-000000000001,Waterford,Weeks,4.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-144e-13a3-e055-000000000001,Wicklow,Weeks,7.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-144c-13a3-e055-000000000001,Westmeath,Weeks,6.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-144d-13a3-e055-000000000001,Wexford,Weeks,7.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202201,2022 January,IE0,Ireland,Weeks,6.9
ROA37C01,Estimated Time to Car Test Invite at Month End,202201,2022 January,2ae19629-1450-13a3-e055-000000000001,Clare,Weeks,5.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202201,2022 January,2ae19629-1451-13a3-e055-000000000001,Cork,Weeks,6.8
ROA37C01,Estimated Time to Car Test Invite at Month End,202201,2022 January,2ae19629-1448-13a3-e055-000000000001,Cavan,Weeks,4.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202201,2022 January,2ae19629-143d-13a3-e055-000000000001,Carlow,Weeks,7.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202201,2022 January,2ae19629-1452-13a3-e055-000000000001,Donegal,Weeks,8.7
